,ID,Age,Marital_Status,Has_Child,Education,Income,Spending,Accepted_Cmp,Response,KMeans,Predicted_Response,Rounded_Prediction,Prediction_Error,Monetary_Rank,Frequency_Rank,Recency_Rank
0,5524,65,Single,0,1,58138.0,1617,0,1,2,0.26473473912142687,0,1,91.94752318479982,88.28054298642533,40.659840728100114
1,2174,68,Single,1,1,46344.0,27,0,0,0,0.04681239910016788,0,0,7.011988237955213,10.79185520361991,61.2514220705347
2,4141,57,Together,0,1,71613.0,776,0,0,2,0.04760668518466549,0,0,64.51029178918797,80.85972850678733,73.62912400455063
3,6182,38,Together,1,1,26646.0,53,0,0,3,0.022430248706699463,0,0,18.706175073512778,27.669683257918553,73.62912400455063
4,5324,41,Together,1,4,58293.0,422,0,0,2,0.06892319721011075,0,0,51.79823569328206,56.15384615384615,5.164960182025029
5,7446,55,Together,1,3,62513.0,716,0,0,2,0.051730100590451855,0,0,62.51979190228455,80.85972850678733,83.4584755403868
6,965,51,Single,1,1,55635.0,590,0,0,2,0.11445871487021164,0,0,58.58403076227098,68.4841628959276,65.02844141069397
7,6177,37,Together,1,4,33454.0,169,0,0,0,0.09471710714793702,0,0,38.11354897082108,38.755656108597286,66.80318543799773
8,4855,48,Together,1,4,30351.0,46,0,1,3,0.07251130707708447,0,1,15.720425243157656,19.366515837104075,80.70534698521047
9,5899,72,Together,1,4,5648.0,49,1,0,3,0.3607367476239808,0,0,17.416874010404886,0.40723981900452494,31.35381114903299
11,387,46,Together,0,0,7500.0,61,0,0,3,0.084276925894717,0,0,22.03121465731735,19.366515837104075,40.02275312855518
12,2125,63,Single,0,1,63033.0,1102,0,0,2,0.19933533393425298,0,0,77.15448993440398,60.18099547511312,17.042093287827075
13,8180,70,Single,1,3,59354.0,310,0,0,2,0.09801922638143273,0,0,46.27912237050441,49.20814479638009,46.50739476678043
14,2569,35,Together,0,1,17323.0,46,0,0,3,0.10131713000013265,0,0,15.720425243157656,10.79185520361991,61.2514220705347
15,2114,76,Single,0,4,82800.0,1315,1,1,1,0.5090015740818612,1,0,84.23433612304908,96.0633484162896,77.06484641638225
16,9736,42,Together,1,1,41850.0,96,0,0,0,-0.008061263597288315,0,0,31.259895951142276,27.669683257918553,48.532423208191126
17,4939,76,Together,0,1,37760.0,317,0,0,0,0.037770247591884326,0,0,46.98032119429993,46.06334841628959,79.68145620022753
18,6565,73,Together,1,3,76995.0,1782,1,0,1,0.39059042932029875,0,0,95.11422755032798,94.00452488687783,8.486916951080774
19,2278,37,Single,1,2,33812.0,133,0,0,0,0.1480605656468053,0,0,35.21827640805248,27.669683257918553,13.174061433447099
20,9360,40,Together,0,1,37040.0,316,0,0,0,0.08628335233163745,0,0,46.88984392671342,46.06334841628959,58.38452787258248
21,5376,43,Together,1,1,2447.0,1730,0,0,3,0.25373485251887457,0,0,94.39040940963584,99.25339366515837,57.588168373151305
22,1993,73,Together,1,4,58607.0,972,1,0,2,0.35905408578165904,0,0,71.88418909748926,56.15384615384615,36.35949943117179
23,4047,68,Together,1,4,65324.0,544,0,0,2,0.033412570072540226,0,0,56.932820628817005,68.4841628959276,100.0
24,1409,71,Together,1,1,40689.0,444,0,0,0,-0.004371748186031588,0,0,52.99705948880343,52.307692307692314,30.44368600682594
25,7892,53,Single,0,1,18589.0,75,0,0,3,0.18417271984178,0,0,26.84912915629948,27.669683257918553,10.261660978384528
26,2404,46,Together,1,1,53359.0,257,0,0,2,-0.017869647374918085,0,0,43.11241800497625,43.09954751131222,95.17633674630261
28,9422,33,Together,1,1,38360.0,131,0,0,0,0.014615817764046107,0,0,34.99208323908618,34.7737556561086,73.62912400455063
29,1966,57,Together,0,4,84618.0,1672,1,0,1,0.465063834661559,0,0,93.0784890296313,96.0633484162896,3.23094425483504
30,6864,33,Single,0,3,10979.0,30,0,0,3,0.26792231387796533,0,0,8.1429540827867,27.669683257918553,65.02844141069397
31,3033,59,Together,0,3,38620.0,318,0,0,0,0.10601828826308315,0,0,47.11603709567971,43.09954751131222,42.86689419795222
32,5710,52,Together,1,1,40548.0,120,1,0,0,0.25454409025413954,0,0,33.83849807735807,34.7737556561086,67.6905574516496
33,7373,70,Single,1,4,46610.0,302,0,1,0,0.1461319150791039,0,1,45.96245193395159,46.06334841628959,91.8316268486917
34,8755,76,Together,0,3,68657.0,1196,0,0,2,0.12366657866141187,0,0,81.0450124406243,68.4841628959276,95.17633674630261
35,10738,71,Single,1,3,49389.0,65,0,0,0,0.08870033307562175,0,0,23.63718615697806,19.366515837104075,44.16382252559727
36,4339,52,Together,1,4,67353.0,913,0,0,2,0.09216164659165144,0,0,69.66749604161954,91.4027149321267,62.36632536973834
37,10755,46,Together,1,2,23718.0,81,0,0,3,0.04468704562717768,0,0,28.52295860665008,27.669683257918553,23.48122866894198
38,8595,49,Single,1,1,42429.0,67,0,0,0,0.084008760177682,0,0,24.36100429767021,19.366515837104075,0.40955631399317405
39,2968,79,Single,0,4,48948.0,902,1,1,0,0.5253506387524478,1,0,68.98891653472066,88.28054298642533,46.50739476678043
